GEOID,FullName,state,county,FIPS
1001,"Autauga County, Alabama",Alabama,Autauga,1001
1003,"Baldwin County, Alabama",Alabama,Baldwin,1003
1005,"Barbour County, Alabama",Alabama,Barbour,1005
1007,"Bibb County, Alabama",Alabama,Bibb,1007
1009,"Blount County, Alabama",Alabama,Blount,1009
1011,"Bullock County, Alabama",Alabama,Bullock,1011
1013,"Butler County, Alabama",Alabama,Butler,1013
1015,"Calhoun County, Alabama",Alabama,Calhoun,1015
1017,"Chambers County, Alabama",Alabama,Chambers,1017
1019,"Cherokee County, Alabama",Alabama,Cherokee,1019
1021,"Chilton County, Alabama",Alabama,Chilton,1021
1023,"Choctaw County, Alabama",Alabama,Choctaw,1023
1025,"Clarke County, Alabama",Alabama,Clarke,1025
1027,"Clay County, Alabama",Alabama,Clay,1027
1029,"Cleburne County, Alabama",Alabama,Cleburne,1029
1031,"Coffee County, Alabama",Alabama,Coffee,1031
1033,"Colbert County, Alabama",Alabama,Colbert,1033
1035,"Conecuh County, Alabama",Alabama,Conecuh,1035
1037,"Coosa County, Alabama",Alabama,Coosa,1037
1039,"Covington County, Alabama",Alabama,Covington,1039
1041,"Crenshaw County, Alabama",Alabama,Crenshaw,1041
1043,"Cullman County, Alabama",Alabama,Cullman,1043
1045,"Dale County, Alabama",Alabama,Dale,1045
1047,"Dallas County, Alabama",Alabama,Dallas,1047
1049,"DeKalb County, Alabama",Alabama,DeKalb,1049
1051,"Elmore County, Alabama",Alabama,Elmore,1051
1053,"Escambia County, Alabama",Alabama,Escambia,1053
1055,"Etowah County, Alabama",Alabama,Etowah,1055
1057,"Fayette County, Alabama",Alabama,Fayette,1057
1059,"Franklin County, Alabama",Alabama,Franklin,1059
1061,"Geneva County, Alabama",Alabama,Geneva,1061
1063,"Greene County, Alabama",Alabama,Greene,1063
1065,"Hale County, Alabama",Alabama,Hale,1065
1067,"Henry County, Alabama",Alabama,Henry,1067
1069,"Houston County, Alabama",Alabama,Houston,1069
1071,"Jackson County, Alabama",Alabama,Jackson,1071
1073,"Jefferson County, Alabama",Alabama,Jefferson,1073
1075,"Lamar County, Alabama",Alabama,Lamar,1075
1077,"Lauderdale County, Alabama",Alabama,Lauderdale,1077
1079,"Lawrence County, Alabama",Alabama,Lawrence,1079
1081,"Lee County, Alabama",Alabama,Lee,1081
1083,"Limestone County, Alabama",Alabama,Limestone,1083
1085,"Lowndes County, Alabama",Alabama,Lowndes,1085
1087,"Macon County, Alabama",Alabama,Macon,1087
1089,"Madison County, Alabama",Alabama,Madison,1089
1091,"Marengo County, Alabama",Alabama,Marengo,1091
1093,"Marion County, Alabama",Alabama,Marion,1093
1095,"Marshall County, Alabama",Alabama,Marshall,1095
1097,"Mobile County, Alabama",Alabama,Mobile,1097
1099,"Monroe County, Alabama",Alabama,Monroe,1099
1101,"Montgomery County, Alabama",Alabama,Montgomery,1101
1103,"Morgan County, Alabama",Alabama,Morgan,1103
1105,"Perry County, Alabama",Alabama,Perry,1105
1107,"Pickens County, Alabama",Alabama,Pickens,1107
1109,"Pike County, Alabama",Alabama,Pike,1109
1111,"Randolph County, Alabama",Alabama,Randolph,1111
1113,"Russell County, Alabama",Alabama,Russell,1113
1115,"St. Clair County, Alabama",Alabama,St. Clair,1115
1117,"Shelby County, Alabama",Alabama,Shelby,1117
1119,"Sumter County, Alabama",Alabama,Sumter,1119
1121,"Talladega County, Alabama",Alabama,Talladega,1121
1123,"Tallapoosa County, Alabama",Alabama,Tallapoosa,1123
1125,"Tuscaloosa County, Alabama",Alabama,Tuscaloosa,1125
1127,"Walker County, Alabama",Alabama,Walker,1127
1129,"Washington County, Alabama",Alabama,Washington,1129
1131,"Wilcox County, Alabama",Alabama,Wilcox,1131
1133,"Winston County, Alabama",Alabama,Winston,1133
2013,"Aleutians East Borough, Alaska",Alaska,Aleutians East Borough,2013
2016,"Aleutians West Census Area, Alaska",Alaska,Aleutians West Census Area,2016
2020,"Anchorage Municipality, Alaska",Alaska,Anchorage Municipality,2020
2050,"Bethel Census Area, Alaska",Alaska,Bethel Census Area,2050
2060,"Bristol Bay Borough, Alaska",Alaska,Bristol Bay Borough,2060
2068,"Denali Borough, Alaska",Alaska,Denali Borough,2068
2070,"Dillingham Census Area, Alaska",Alaska,Dillingham Census Area,2070
2090,"Fairbanks North Star Borough, Alaska",Alaska,Fairbanks North Star Borough,2090
2100,"Haines Borough, Alaska",Alaska,Haines Borough,2100
2105,"Hoonah-Angoon Census Area, Alaska",Alaska,Hoonah-Angoon Census Area,2105
2110,"Juneau City and Borough, Alaska",Alaska,Juneau City and Borough,2110
2122,"Kenai Peninsula Borough, Alaska",Alaska,Kenai Peninsula Borough,2122
2130,"Ketchikan Gateway Borough, Alaska",Alaska,Ketchikan Gateway Borough,2130
2150,"Kodiak Island Borough, Alaska",Alaska,Kodiak Island Borough,2150
2158,"Kusilvak Census Area, Alaska",Alaska,Kusilvak Census Area,2158
2164,"Lake and Peninsula Borough, Alaska",Alaska,Lake and Peninsula Borough,2164
2170,"Matanuska-Susitna Borough, Alaska",Alaska,Matanuska-Susitna Borough,2170
2180,"Nome Census Area, Alaska",Alaska,Nome Census Area,2180
2185,"North Slope Borough, Alaska",Alaska,North Slope Borough,2185
2188,"Northwest Arctic Borough, Alaska",Alaska,Northwest Arctic Borough,2188
2195,"Petersburg Borough, Alaska",Alaska,Petersburg Borough,2195
2198,"Prince of Wales-Hyder Census Area, Alaska",Alaska,Prince of Wales-Hyder Census Area,2198
2220,"Sitka City and Borough, Alaska",Alaska,Sitka City and Borough,2220
2230,"Skagway Municipality, Alaska",Alaska,Skagway Municipality,2230
2240,"Southeast Fairbanks Census Area, Alaska",Alaska,Southeast Fairbanks Census Area,2240
2261,"Valdez-Cordova Census Area, Alaska",Alaska,Valdez-Cordova Census Area,2261
2275,"Wrangell City and Borough, Alaska",Alaska,Wrangell City and Borough,2275
2282,"Yakutat City and Borough, Alaska",Alaska,Yakutat City and Borough,2282
2290,"Yukon-Koyukuk Census Area, Alaska",Alaska,Yukon-Koyukuk Census Area,2290
4001,"Apache County, Arizona",Arizona,Apache,4001
4003,"Cochise County, Arizona",Arizona,Cochise,4003
4005,"Coconino County, Arizona",Arizona,Coconino,4005
4007,"Gila County, Arizona",Arizona,Gila,4007
